IID,predict,actual,pheno_num
HG01589,12.2765,1.215697,1
HG02654,0.170279,1.501438,1
HG02685,1.31632,-0.191947,1
HG02691,2.55425,0.178207,1
HG02731,-1.85146,-0.125954,1
HG02734,0.711128,1.190614,1
HG02736,-2.2302,-1.094811,1
HG02774,2.31578,-0.884085,1
HG02783,1.41862,-1.52393,1
HG02784,0.599778,-0.010185,1
HG03006,2.52859,0.464003,1
HG03009,5.9292,-1.049588,1
HG03016,-0.314411,0.407597,1
HG03021,-3.79577,-0.161478,1
HG03490,-6.47239,0.284152,1
HG03603,5.63631,0.531108,1
HG03611,-1.48117,0.45959,1
HG03619,6.05437,0.759845,1
HG03629,0.561852,-0.409237,1
HG03643,1.21171,0.304934,1
HG03645,1.68201,-0.703751,1
HG03649,0.928335,0.163013,1
HG03653,7.47562,-0.814076,1
HG03673,5.20038,0.392015,1
HG03681,3.33622,1.783173,1
HG03691,3.53105,0.665713,1
HG03718,-4.18004,0.121937,1
HG03744,8.49039,-0.134298,1
HG03746,-3.63546,-1.40641,1
HG03750,10.1928,1.703333,1
HG03756,4.72613,-0.906922,1
HG03774,-1.46923,-0.631561,1
HG03781,3.17738,0.57923,1
HG03787,3.97397,0.176398,1
HG03802,-1.28234,1.619605,1
HG03821,0.555589,1.094961,1
HG03823,-1.15026,-0.933274,1
HG03830,-1.80506,0.303762,1
HG03851,-1.58366,-1.227117,1
HG03861,-7.26426,-0.157699,1
HG03866,0.764785,0.311468,1
HG03869,9.54024,-0.584603,1
HG03897,4.19184,-0.114775,1
HG03910,0.216601,-0.561382,1
HG03940,-0.075498,1.266574,1
HG03941,3.04335,-0.338781,1
HG03943,5.85801,-0.145025,1
HG03978,8.2018,0.601964,1
HG03999,5.08262,-0.292378,1
HG04001,3.14733,-0.224218,1
HG04017,-1.62029,0.406518,1
HG04020,-2.05045,-0.969779,1
HG04025,-8.6841,0.389122,1
HG04035,-0.178451,-0.834333,1
HG04047,1.8283,-0.243511,1
HG04059,4.9362,0.585588,1
HG04061,-3.34043,2.385657,1
HG04100,3.0839,-0.222471,1
HG04131,8.03336,-1.063402,1
HG04156,2.57016,-0.258974,1
HG04162,-2.22305,-0.904379,1
HG04183,1.57633,0.633143,1
HG04211,4.52728,0.457698,1
HG04238,-1.31536,1.052769,1
NA20845,9.28843,1.208803,1
NA20854,8.39178,0.154029,1
NA20856,13.8463,1.372384,1
NA20869,-1.776,0.230291,1
NA20870,-4.39503,-0.894323,1
NA20878,5.55714,-1.03927,1
NA20885,8.59809,1.487471,1
NA20899,6.98296,-0.374657,1
NA20900,3.22049,-0.37678,1
NA20901,-1.71708,0.867851,1
NA20903,2.25465,0.414883,1
NA20910,-0.678977,-0.624673,1
NA21086,5.99668,-0.089895,1
NA21091,4.11721,-0.162862,1
NA21092,0.798762,-1.057743,1
NA21094,0.072635,1.168276,1
NA21113,8.33034,1.93655,1
HG01589,0.830704,0.45425,2
HG02654,1.55991,0.936228,2
HG02685,0.106259,0.034175,2
HG02691,0.671093,-0.463704,2
HG02731,1.30658,-0.520095,2
HG02734,0.250502,-0.429227,2
HG02736,0.132149,-1.323444,2
HG02774,0.132149,-0.189434,2
HG02783,0.289266,-0.815678,2
HG02784,-0.217362,-0.22487,2
HG03006,0.045142,-0.59961,2
HG03009,-0.291222,-0.051691,2
HG03016,0.600885,0.236977,2
HG03021,0.045142,-0.863571,2
HG03490,-0.111975,0.241739,2
HG03603,-0.14633,-0.008815,2
HG03611,0.468736,-0.224555,2
HG03619,0.634782,-0.209936,2
HG03629,1.24116,-0.693905,2
HG03643,1.14733,0.958453,2
HG03645,0.224612,0.540293,2
HG03649,-0.217362,-0.594184,2
HG03653,0.045142,-0.896833,2
HG03673,0.515548,0.723696,2
HG03681,1.39845,1.145309,2
HG03691,0.949938,0.451012,2
HG03718,0.376273,-0.222142,2
HG03744,0.899242,0.577244,2
HG03746,0.045142,-0.095463,2
HG03750,1.99371,-0.407775,2
HG03756,0.045142,-0.701336,2
HG03774,0.341918,-0.259677,2
HG03781,0.783892,0.384218,2
HG03787,1.2575,0.225762,2
HG03802,1.22754,2.291469,2
HG03821,0.691652,0.071317,2
HG03823,0.0,0.135253,2
HG03830,0.329541,-0.030945,2
HG03851,-0.224872,-0.349579,2
HG03861,0.350383,-0.854191,2
HG03866,0.539768,1.279349,2
HG03869,0.289266,0.238827,2
HG03897,0.783892,0.777055,2
HG03910,0.374317,-0.473436,2
HG03940,-0.55928,0.38949,2
HG03941,0.329541,0.198165,2
HG03943,0.289266,-0.229968,2
HG03978,0.071904,0.548159,2
HG03999,0.0,-0.19443,2
HG04001,0.584086,-0.982377,2
HG04017,0.38706,0.935891,2
HG04020,0.316028,-0.063149,2
HG04025,-0.55928,-0.05761,2
HG04035,0.538944,-0.635993,2
HG04047,-0.064654,-0.019638,2
HG04059,1.31144,0.747423,2
HG04061,1.20085,1.330374,2
HG04100,1.09071,-0.429502,2
HG04131,0.683836,-0.720007,2
HG04156,-0.270014,1.17243,2
HG04162,0.289266,-1.370895,2
HG04183,0.244662,0.360212,2
HG04211,-0.803404,-0.382584,2
HG04238,-0.02589,0.708103,2
NA20845,0.928498,0.926918,2
NA20854,1.69364,0.171646,2
NA20856,1.38373,0.726274,2
NA20869,-0.011505,0.121016,2
NA20870,0.045142,-1.00193,2
NA20878,0.38706,-1.130152,2
NA20885,0.132149,0.412974,2
NA20899,0.395525,0.387154,2
NA20900,-0.488248,-0.335584,2
NA20901,0.73291,0.681811,2
NA20903,0.519209,-1.082381,2
NA20910,0.376273,-0.24711,2
NA21086,1.10525,0.255992,2
NA21091,0.38706,-0.584883,2
NA21092,0.605294,0.045456,2
NA21094,1.04181,0.413937,2
NA21113,1.13594,0.459028,2
HG01589,1.21176,1.305205,3
HG02654,0.0,1.891593,3
HG02685,0.0,-0.513117,3
HG02691,0.0,-0.296653,3
HG02731,0.646487,0.697943,3
HG02734,0.0,0.73959,3
HG02736,0.0,-1.578005,3
HG02774,0.0,-0.447649,3
HG02783,0.0,-0.33275,3
HG02784,0.0,0.618745,3
HG03006,0.0,0.335734,3
HG03009,0.0,0.382293,3
HG03016,0.565274,1.669062,3
HG03021,0.0,-0.468125,3
HG03490,0.0,0.767559,3
HG03603,0.0,-0.452835,3
HG03611,0.565274,1.520593,3
HG03619,0.0,1.631027,3
HG03629,0.0,-0.708235,3
HG03643,0.0,0.541183,3
HG03645,0.0,0.4032,3
HG03649,0.0,-0.18481,3
HG03653,0.0,-0.285048,3
HG03673,0.646487,0.608144,3
HG03681,0.646487,0.760789,3
HG03691,0.0,-0.736816,3
HG03718,0.0,-0.801364,3
