IID,predict,actual,pheno_num
HG01589,4.22426,4.187384,1
HG02654,-0.291261,-0.496792,1
HG02685,-0.405494,0.154807,1
HG02691,-0.381482,-0.114776,1
HG02731,-0.352687,-0.160241,1
HG02734,-0.320219,-0.212832,1
HG02736,4.07177,4.113609,1
HG02774,-0.317834,-0.139182,1
HG02783,-0.344433,-0.249829,1
HG02784,-0.379461,-0.475784,1
HG03006,-0.279038,0.217249,1
HG03009,-0.351447,0.285471,1
HG03016,-0.363547,-0.181566,1
HG03021,-0.352649,0.170451,1
HG03490,-0.316572,-0.24918,1
HG03603,-0.37784,-0.640799,1
HG03611,-0.355746,-0.188614,1
HG03619,-0.36327,-0.078117,1
HG03629,-0.256061,0.052282,1
HG03643,-0.332412,0.114091,1
HG03645,-0.393702,-0.131117,1
HG03649,-0.273158,0.501656,1
HG03653,-0.388708,-0.255914,1
HG03673,-0.391175,0.078195,1
HG03681,-0.338562,0.041765,1
HG03691,-0.354175,-0.136414,1
HG03718,-0.383429,-0.417095,1
HG03744,-0.338859,0.124857,1
HG03746,-0.345206,-0.056784,1
HG03750,-0.40307,-0.029144,1
HG03756,-0.389655,-0.244263,1
HG03774,4.18292,4.484624,1
HG03781,-0.321845,-0.59275,1
HG03787,-0.299498,-0.45636,1
HG03802,-0.401983,0.356399,1
HG03821,-0.26475,-0.067227,1
HG03823,-0.360698,0.43363,1
HG03830,-0.355037,-0.205456,1
HG03851,-0.295821,0.078973,1
HG03861,-0.366983,0.285076,1
HG03866,-0.337283,-0.315038,1
HG03869,-0.369403,-0.453971,1
HG03897,-0.395415,-0.30231,1
HG03910,-0.351003,-0.371182,1
HG03940,4.12247,4.533251,1
HG03941,-0.251308,-0.398908,1
HG03943,4.09811,3.921143,1
HG03978,-0.28825,-0.219263,1
HG03999,-0.293598,-0.282071,1
HG04001,-0.299353,0.407784,1
HG04017,-0.304297,-0.582664,1
HG04020,-0.362492,-0.533222,1
HG04025,-0.283506,-0.231548,1
HG04035,-0.320634,0.114899,1
HG04047,-0.194831,-0.278201,1
HG04059,-0.311375,0.181179,1
HG04061,4.09996,4.135641,1
HG04100,-0.378566,-0.285462,1
