IID,predict,actual,pheno_num
HG00407,3.62309,1.321636,1
HG00421,4.15461,-0.399076,1
HG00436,-1.27009,0.589395,1
HG00443,-4.04667,-0.823652,1
HG00445,-4.8244,0.746475,1
HG00451,-0.29172,-0.226962,1
HG00500,-1.4923,-1.014496,1
HG00536,-4.06545,0.793784,1
HG00543,0.306248,-0.563452,1
HG00560,2.90799,1.133465,1
HG00580,3.84795,-0.944406,1
HG00596,2.00908,-0.641658,1
HG00610,2.84377,-0.946319,1
HG00611,-5.69426,0.619756,1
HG00619,-2.37117,-0.856003,1
HG00626,-0.514124,0.580207,1
HG00672,2.84196,1.02998,1
HG00692,4.92751,-0.488113,1
HG00699,-5.23127,-1.34779,1
HG00867,-0.502044,0.858368,1
HG00978,-3.14439,-0.463444,1
HG01596,4.19713,-0.625644,1
HG01798,5.01592,-0.446511,1
HG01815,-2.52512,0.146514,1
HG01816,0.272344,0.175312,1
HG01817,6.63699,-0.632701,1
HG01847,-0.745676,-0.564252,1
HG01858,3.59314,0.02393,1
HG01865,-4.27886,0.006085,1
HG02028,6.83864,1.28057,1
HG02060,1.82191,-1.194745,1
HG02086,-1.39598,0.811513,1
HG02087,-7.55482,-0.140812,1
HG02116,0.076002,0.035228,1
HG02166,4.35946,0.955666,1
HG02178,-0.442331,0.78174,1
HG02187,4.6475,-0.988195,1
HG02353,8.99256,-1.16113,1
HG02367,11.1205,1.266565,1
HG02373,-1.87256,-0.287288,1
HG02384,-1.23874,-0.303779,1
HG02394,2.05523,0.46759,1
HG02395,4.65775,-1.090171,1
HG02512,2.18528,1.21191,1
NA18525,-5.03043,-0.97935,1
NA18528,-0.899182,1.262287,1
NA18530,0.151562,1.45764,1
NA18534,3.80938,-0.886238,1
NA18539,-4.7798,-0.760231,1
NA18544,5.74768,-0.236524,1
NA18547,2.07569,-0.18345,1
NA18564,-0.257357,1.21961,1
NA18572,0.9736,1.500404,1
NA18615,0.452604,-1.468228,1
NA18616,-0.714402,0.22056,1
NA18626,-5.84507,0.713757,1
NA18635,1.04463,1.981614,1
NA18641,-2.73215,0.742083,1
NA18747,-1.72978,0.108128,1
NA18748,-1.4383,0.201314,1
NA18939,-4.45515,0.18135,1
NA18940,-4.99512,0.942839,1
NA18953,-2.8175,1.462076,1
NA18957,-7.96185,-0.019655,1
NA18974,0.595684,0.593162,1
NA18978,1.72985,0.103425,1
NA18981,-6.73138,-0.914533,1
NA18986,1.9599,1.651703,1
NA18991,-3.58982,1.257926,1
NA18992,5.84787,-0.150872,1
NA18993,-9.57498,-0.006383,1
NA18995,-3.89238,0.346452,1
NA19005,-3.60509,-0.934394,1
NA19059,0.32744,0.987054,1
NA19070,-1.25135,-0.420071,1
NA19082,-1.07322,1.518478,1
NA19085,3.83418,-0.586281,1
NA19086,-4.97209,-0.616292,1
HG00407,0.0,-0.059796,2
HG00421,0.0,0.076413,2
HG00436,0.0,0.401143,2
HG00443,0.0,0.418668,2
HG00445,0.0,0.25601,2
HG00451,0.0,0.059164,2
HG00500,0.0,-1.573041,2
HG00536,0.0,-0.11793,2
HG00543,0.0,2.711719,2
HG00560,0.0,-1.282986,2
HG00580,0.0,-0.564285,2
HG00596,0.0,1.185783,2
HG00610,0.0,-0.713779,2
HG00611,0.0,0.921428,2
HG00619,0.0,1.703872,2
HG00626,0.0,-0.157687,2
HG00672,0.0,0.144124,2
HG00692,1.32229,2.609816,2
HG00699,0.0,0.105354,2
HG00867,0.0,-0.750669,2
HG00978,0.0,-0.206787,2
HG01596,0.0,-1.360009,2
HG01798,1.32229,0.997966,2
HG01815,0.0,-1.190334,2
HG01816,2.64458,0.985083,2
HG01817,0.0,-0.49453,2
HG01847,1.32229,1.197745,2
HG01858,0.0,1.06157,2
HG01865,0.0,-0.464713,2
HG02028,0.0,-0.946666,2
HG02060,0.0,-0.012115,2
HG02086,1.32229,1.959902,2
HG02087,1.32229,2.907137,2
HG02116,0.0,-1.295299,2
HG02166,0.0,0.035881,2
HG02178,0.0,0.201518,2
HG02187,0.0,0.553396,2
HG02353,1.32229,1.572633,2
HG02367,1.32229,2.277818,2
HG02373,0.0,-1.300572,2
HG02384,0.0,-0.768999,2
HG02394,0.0,0.442404,2
HG02395,0.0,0.64385,2
HG02512,0.0,0.513149,2
NA18525,0.0,-0.940854,2
NA18528,0.0,0.812199,2
NA18530,0.0,-0.423756,2
NA18534,1.32229,0.566793,2
NA18539,0.0,0.915601,2
NA18544,0.0,-0.473855,2
NA18547,0.0,-0.492245,2
NA18564,0.0,0.495443,2
NA18572,0.0,0.009955,2
NA18615,1.32229,0.848239,2
NA18616,0.0,-0.217347,2
NA18626,0.0,-1.110125,2
NA18635,0.0,0.182402,2
NA18641,1.32229,0.98388,2
NA18747,0.0,-0.054218,2
NA18748,0.0,0.976939,2
NA18939,0.0,0.65374,2
NA18940,1.32229,2.074447,2
NA18953,0.0,-0.218084,2
NA18957,0.0,-0.821386,2
NA18974,1.32229,1.681592,2
NA18978,0.0,-0.19151,2
NA18981,0.0,-0.699051,2
NA18986,0.0,1.098612,2
NA18991,0.0,0.923944,2
NA18992,0.0,-0.466781,2
NA18993,0.0,0.13368,2
NA18995,0.0,-0.637563,2
NA19005,0.0,-0.69164,2
NA19059,0.0,0.422432,2
NA19070,0.0,0.413364,2
NA19082,0.0,0.284972,2
NA19085,0.0,1.375529,2
NA19086,0.0,-1.040984,2
HG00407,0.0,0.545734,3
HG00421,0.889334,0.965728,3
HG00436,0.0,0.57276,3
HG00443,0.0,1.976374,3
HG00445,0.0,0.297359,3
HG00451,0.0,-0.430789,3
HG00500,0.0,0.410433,3
HG00536,0.0,-0.233213,3
HG00543,0.889334,1.980586,3
HG00560,0.0,1.103334,3
HG00580,0.0,1.077695,3
HG00596,0.0,-1.106828,3
HG00610,0.889334,1.060367,3
HG00611,0.0,-0.07283,3
HG00619,0.0,0.052877,3
HG00626,0.0,0.791672,3
HG00672,0.0,0.416798,3
HG00692,0.0,-0.02728,3
HG00699,0.889334,0.403421,3
HG00867,0.0,0.701617,3
HG00978,0.0,-0.007537,3
HG01596,0.0,-0.657369,3
HG01798,0.0,-0.562251,3
HG01815,0.0,0.441759,3
HG01816,0.0,-1.245235,3
HG01817,0.0,-1.602172,3
HG01847,0.0,-1.285432,3
HG01858,0.889334,0.446166,3
HG01865,0.0,0.143753,3
HG02028,0.0,1.910903,3
HG02060,0.0,-0.127611,3
HG02086,0.0,-0.249676,3
HG02087,0.889334,1.290941,3
HG02116,0.0,0.612731,3
HG02166,0.0,0.087833,3
HG02178,0.0,0.808359,3
HG02187,0.889334,1.007856,3
HG02353,0.0,-0.535289,3
HG02367,0.0,1.451533,3
HG02373,0.889334,0.380117,3
HG02384,0.0,-0.522237,3
HG02394,0.0,-0.066203,3
HG02395,0.889334,1.554731,3
HG02512,0.0,0.751437,3
NA18525,0.0,0.255769,3
NA18528,0.0,1.009082,3
NA18530,0.0,0.561069,3
NA18534,0.0,-0.920899,3
NA18539,0.0,0.854889,3
NA18544,0.0,-0.720472,3
NA18547,0.889334,1.032163,3
NA18564,0.0,0.557938,3
NA18572,0.0,-0.963146,3
NA18615,0.889334,1.96515,3
NA18616,0.0,0.891807,3
NA18626,0.0,-1.08833,3
NA18635,0.889334,1.73663,3
NA18641,0.0,1.443577,3
NA18747,0.0,-0.18524,3
NA18748,0.889334,1.727506,3
NA18939,0.0,0.759591,3
NA18940,0.0,-1.039478,3
NA18953,0.0,1.361213,3
NA18957,0.0,-0.347361,3
NA18974,0.889334,1.095798,3
NA18978,0.0,0.203322,3
NA18981,0.889334,0.21257,3
NA18986,0.0,1.262395,3
NA18991,0.0,-0.378819,3
NA18992,0.0,-0.790752,3
NA18993,0.0,0.114005,3
NA18995,0.0,-0.807219,3
NA19005,0.0,-1.154638,3
NA19059,0.0,0.537493,3
NA19070,0.0,0.14439,3
NA19082,0.0,1.939858,3
NA19085,0.0,-1.276417,3
NA19086,0.0,-1.088232,3
HG00407,0.577009,0.545216,4
HG00421,-0.265759,0.121924,4
HG00436,-0.353421,-0.570174,4
HG00443,-0.747441,0.794379,4
HG00445,0.0,0.589032,4
HG00451,-0.945767,0.753597,4
HG00500,0.182989,1.132811,4
HG00536,-0.415821,0.207037,4
HG00543,-0.728741,-0.254948,4
HG00560,0.285988,0.275021,4
HG00580,-0.0624,-0.501406,4
HG00596,0.228621,-1.138195,4
HG00610,-0.39402,-0.081377,4
HG00611,-0.791141,0.396423,4
HG00619,-1.63894,-1.05722,4
HG00626,-0.353421,1.143152,4
HG00672,-0.067433,-0.559485,4
HG00692,-0.706842,0.679792,4
HG00699,0.514609,1.522461,4
HG00867,-0.353421,-0.240814,4
HG00978,0.223588,0.246267,4
HG01596,-0.402154,-1.062581,4
HG01798,0.0,-0.509842,4
HG01815,0.514609,0.419411,4
HG01816,0.291021,0.100995,4
HG01817,-0.45642,-0.809529,4
HG01847,-0.415821,-1.161686,4
HG01858,-0.067433,1.119722,4
HG01865,-0.688142,0.898347,4
HG02028,0.291021,-0.427163,4
HG02060,0.223588,0.206737,4
HG02086,0.291021,0.01979,4
HG02087,-0.459521,-1.072067,4
HG02116,0.0,0.49696,4
HG02166,0.285988,1.569186,4
HG02178,-1.04156,0.848854,4
HG02187,0.0,0.398932,4
HG02353,-0.067433,-1.250799,4
HG02367,0.285988,1.438352,4
HG02373,-0.151732,0.260999,4
HG02384,-0.0624,-0.570864,4
HG02394,-0.067433,-0.051937,4
HG02395,-0.0624,0.90206,4
HG02512,-0.0624,0.907752,4
NA18525,-0.750542,0.13852,4
NA18528,0.242288,1.021701,4
NA18530,-0.791141,0.915721,4
NA18534,-0.415821,-0.914821,4
NA18539,0.291021,0.351181,4
NA18544,-1.57151,-1.688167,4
NA18547,-0.198326,0.542197,4
NA18564,0.582042,0.077453,4
NA18572,-0.151732,0.692474,4
NA18615,0.223588,-0.941454,4
NA18616,0.285988,0.17321,4
NA18626,-0.353421,0.286285,4
NA18635,-0.334721,1.28232,4
NA18641,-0.0437,0.775522,4
NA18747,-0.576747,-1.560652,4
NA18748,0.223588,0.652981,4
NA18939,-0.747441,0.221335,4
NA18940,-0.953901,-0.010798,4
NA18953,-0.067433,-0.921999,4
NA18957,-1.68768,0.189207,4
NA18974,0.291021,0.097729,4
NA18978,-1.12586,0.35645,4
NA18981,-0.415821,-1.432993,4
NA18986,-0.1061,-0.622636,4
NA18991,-0.415821,-0.493191,4
NA18992,-0.420854,0.753663,4
NA18993,-0.445854,0.237987,4
NA18995,0.47401,0.904904,4
NA19005,-0.45642,-0.854917,4
NA19059,0.223588,-1.020256,4
NA19070,-0.102999,0.077558,4
NA19082,0.577009,1.571202,4
NA19085,-0.688142,0.928438,4
NA19086,-0.842768,-0.758732,4
HG00407,4.36884,-0.546772,5
HG00421,-0.586488,1.318849,5
HG00436,0.456399,-0.038612,5
HG00443,-1.45742,-0.165743,5
HG00445,-5.5505,-0.904017,5
HG00451,-0.501013,1.358538,5
HG00500,2.82902,1.634655,5
HG00536,-1.14764,1.231888,5
HG00543,1.99926,-0.22764,5
HG00560,-0.260531,1.254377,5
HG00580,4.67638,0.663252,5
HG00596,0.742284,0.460024,5
HG00610,-3.36698,0.610224,5
HG00611,-0.849334,0.870146,5
HG00619,-0.0682498,0.03346,5
HG00626,2.97096,1.609315,5
HG00672,-2.98375,1.286026,5
HG00692,-3.00194,-0.221234,5
HG00699,-2.22811,-0.566331,5
HG00867,-4.64739,0.151103,5
HG00978,1.37507,0.442392,5
HG01596,0.50086,-0.465928,5
HG01798,3.08648,0.358664,5
HG01815,2.39397,-0.704476,5
HG01816,1.91311,-1.011128,5
HG01817,-3.88273,-0.266041,5
HG01847,-0.629375,-0.420339,5
HG01858,-1.55133,-1.435977,5
HG01865,-1.74401,0.616471,5
HG02028,2.44335,-0.775193,5
HG02060,1.4126,-0.025859,5
HG02086,1.95901,0.054526,5
HG02087,0.804704,0.003014,5
HG02116,-1.30046,0.679623,5
HG02166,0.454592,-0.094116,5
HG02178,-10.852,0.423213,5
HG02187,5.09648,1.126016,5
HG02353,-9.65127,-0.003128,5
HG02367,-2.27614,1.399234,5
HG02373,2.23548,0.828288,5
HG02384,0.180039,0.12867,5
HG02394,-8.73717,0.04657,5
HG02395,2.00924,0.869708,5
HG02512,-6.12778,-0.557551,5
NA18525,0.858116,0.855643,5
NA18528,2.27377,-0.187495,5
NA18530,-2.59625,0.866454,5
NA18534,-3.862,0.282254,5
NA18539,2.80916,0.419908,5
NA18544,-3.92474,0.221513,5
NA18547,3.33049,0.17789,5
NA18564,-4.32206,-0.489469,5
NA18572,-3.43833,0.579402,5
NA18615,0.0697002,0.067602,5
NA18616,2.23976,-0.279726,5
NA18626,-0.3621,0.17831,5
NA18635,-0.596058,0.656914,5
NA18641,1.88959,1.120039,5
NA18747,-0.854866,-0.696998,5
NA18748,-0.112443,0.021374,5
NA18939,-5.15405,0.934843,5
NA18940,0.860422,-0.213142,5
NA18953,-4.9789,0.204963,5
NA18957,-5.65707,1.397404,5
NA18974,-1.81149,-0.428883,5
NA18978,-2.14083,-1.34909,5
NA18981,-1.81353,1.058983,5
NA18986,-0.538967,0.791271,5
NA18991,0.465606,-0.642011,5
NA18992,3.80861,-0.056274,5
NA18993,-3.64889,1.168221,5
NA18995,-2.35938,0.072158,5
NA19005,-3.65219,-0.288757,5
NA19059,-0.25696,-1.217285,5
NA19070,-3.61854,0.05905,5
NA19082,1.15323,0.863417,5
NA19085,-1.04861,-0.754094,5
NA19086,0.657633,0.358135,5
HG00407,0.0,-0.01502,6
HG00421,0.0,0.502542,6
HG00436,0.0,-0.958717,6
HG00443,-0.435089,0.171438,6
HG00445,0.0,-0.194347,6
HG00451,0.0,1.153547,6
HG00500,0.0,-0.194882,6
HG00536,0.0,-0.516408,6
HG00543,-0.435089,0.680303,6
HG00560,0.0,0.325989,6
HG00580,0.0,-0.171758,6
HG00596,0.0,0.231849,6
HG00610,0.0,-0.244165,6
HG00611,0.0,-0.367918,6
HG00619,0.0,-0.89914,6
HG00626,0.0,-0.140181,6
HG00672,0.0,-1.072803,6
HG00692,0.535325,1.13056,6
HG00699,-0.435089,1.668726,6
HG00867,-0.435089,-0.904784,6
HG00978,0.0,0.239485,6
HG01596,0.0,0.89968,6
HG01798,0.970414,0.664641,6
HG01815,-0.870178,-1.101129,6
HG01816,1.94083,2.249869,6
HG01817,0.0,-0.156932,6
HG01847,0.970414,0.643188,6
HG01858,-0.435089,-0.598876,6
HG01865,-0.435089,0.710917,6
HG02028,0.0,0.909231,6
HG02060,0.0,-0.535989,6
HG02086,0.970414,0.810128,6
HG02087,0.970414,1.415375,6
HG02116,0.0,0.888023,6
HG02166,-0.435089,0.770306,6
HG02178,0.0,0.779843,6
HG02187,0.0,0.46089,6
HG02353,0.970414,2.808106,6
HG02367,0.970414,2.484224,6
HG02373,-0.435089,1.101738,6
HG02384,-0.435089,-0.674512,6
HG02394,0.0,0.31686,6
HG02395,0.0,0.978169,6
HG02512,0.0,-0.908481,6
NA18525,0.0,-0.142795,6
NA18528,0.0,-0.691064,6
NA18530,0.0,-1.158438,6
NA18534,0.970414,0.593119,6
NA18539,-0.435089,0.895553,6
NA18544,0.0,-1.17843,6
NA18547,0.0,0.745016,6
NA18564,0.0,-0.03647,6
NA18572,0.0,0.464243,6
NA18615,0.970414,1.762906,6
NA18616,-0.435089,-0.087428,6
NA18626,0.0,0.031796,6
NA18635,0.0,0.841136,6
NA18641,0.0,1.859611,6
NA18747,0.0,0.608324,6
NA18748,0.0,0.367857,6
NA18939,0.0,1.355949,6
NA18940,0.970414,0.579138,6
NA18953,0.0,0.563873,6
NA18957,0.0,0.513848,6
NA18974,0.970414,1.835472,6
NA18978,0.0,1.533915,6
NA18981,-0.435089,-0.867053,6
NA18986,-0.435089,0.6212,6
NA18991,0.0,1.051012,6
NA18992,0.0,0.638811,6
NA18993,0.970414,-0.097424,6
NA18995,0.0,1.308403,6
NA19005,0.0,-0.485401,6
NA19059,-0.435089,-0.622187,6
NA19070,0.0,-0.235415,6
NA19082,0.0,0.54648,6
