IID,predict,actual,pheno_num
HG00407,0.0,-0.187637,1
HG00421,0.0,-0.863914,1
HG00436,0.0,0.076434,1
HG00443,0.131867,0.097004,1
HG00445,0.0,-0.465137,1
HG00451,0.0,-0.522263,1
HG00500,0.127957,0.135681,1
HG00536,0.131867,-0.651858,1
HG00543,0.0,-0.553385,1
HG00560,0.0,-0.082291,1
HG00580,0.0,-0.141925,1
HG00596,0.0,-0.363261,1
HG00610,0.259824,-0.156422,1
HG00611,0.127957,0.20857,1
HG00619,0.131867,-0.577447,1
HG00626,0.0,-0.361369,1
HG00672,0.259824,-0.448543,1
HG00692,0.259824,0.393428,1
HG00699,0.0,-0.17228,1
HG00867,0.0,-0.758118,1
HG00978,0.0,-0.27204,1
HG01596,0.0,0.174921,1
HG01798,0.0,0.264443,1
HG01815,0.0,-0.293336,1
HG01816,0.0,-0.079227,1
HG01817,0.0,-0.240904,1
HG01847,0.0,0.058244,1
HG01858,0.259824,-0.398945,1
HG01865,0.259824,-0.22793,1
HG02028,0.0,0.119893,1
HG02060,0.0,-0.388686,1
HG02086,0.0,-0.443421,1
HG02087,0.0,0.073502,1
HG02116,0.0,-0.028979,1
HG02166,0.0,-0.197445,1
HG02178,0.0,-0.514659,1
HG02187,0.259824,-0.602416,1
HG02353,0.0,0.006127,1
HG02367,0.127957,-0.831282,1
HG02373,0.0,-0.593906,1
HG02384,0.0,0.425622,1
HG02394,0.0,-0.198304,1
HG02395,0.0,-0.483188,1
HG02512,0.259824,0.245925,1
NA18525,0.0,-0.127024,1
NA18528,0.131867,-0.280698,1
NA18530,0.0,-0.573675,1
NA18534,0.0,-0.105194,1
NA18539,0.0,-0.28488,1
NA18544,0.259824,-0.052853,1
NA18547,0.131867,-0.086724,1
NA18564,0.127957,-0.456743,1
NA18572,0.0,-0.02122,1
NA18615,0.0,-0.466699,1
NA18616,0.0,-0.099806,1
NA18626,0.0,-0.141911,1
NA18635,0.0,-0.810513,1
NA18641,0.127957,0.46254,1
