IID,predict,actual,pheno_num
HG01894,0.0,-1.301672,1
HG02013,0.0,0.505023,1
HG02332,0.0,0.443666,1
HG02343,0.0,1.272688,1
HG02427,0.0,-0.900625,1
HG02449,0.0,-0.453161,1
HG02455,0.0,-0.378157,1
HG02471,0.0,-0.85931,1
HG02496,0.0,0.493912,1
HG02497,0.651609,-0.871599,1
HG02549,0.651609,0.05842,1
HG02557,0.651609,-0.665489,1
HG02558,0.0,-1.748529,1
HG02568,0.0,-1.243934,1
HG02570,0.0,-0.632661,1
HG02611,0.651609,1.102662,1
HG02628,0.0,-1.239047,1
HG02678,0.0,-0.791098,1
HG02703,0.0,0.937911,1
HG02760,0.0,-1.505134,1
HG02804,1.30322,-0.42828,1
HG02810,0.0,-1.431247,1
HG02814,0.0,-1.419012,1
HG02851,0.0,0.162235,1
HG02882,0.0,-2.074465,1
HG02884,0.0,-1.585582,1
HG02891,0.0,1.220656,1
HG02895,0.0,-1.115979,1
HG02922,0.0,-1.354568,1
HG02923,0.0,-0.371002,1
HG02943,0.0,-0.203163,1
HG02944,0.0,-1.14053,1
HG02971,0.0,1.077219,1
HG02981,0.0,-1.592758,1
HG03025,0.651609,1.490269,1
HG03039,0.0,-0.174593,1
HG03040,0.0,-2.074607,1
HG03046,0.0,0.054194,1
HG03073,0.0,-0.620885,1
HG03078,0.0,0.516336,1
HG03079,0.0,-1.053194,1
HG03085,1.30322,-0.48123,1
HG03099,0.0,0.004718,1
HG03109,0.651609,-0.503553,1
HG03169,0.0,-0.750411,1
HG03199,0.0,-0.40317,1
HG03224,0.0,-0.040571,1
HG03265,0.0,0.488335,1
HG03270,0.0,-1.598627,1
HG03291,0.0,-0.321209,1
HG03342,0.0,0.139014,1
HG03351,0.0,1.068849,1
HG03369,0.0,-2.392275,1
HG03380,0.0,-0.543848,1
HG03385,0.0,1.163545,1
HG03388,0.0,0.533091,1
HG03394,0.0,-2.054503,1
HG03436,0.0,-1.21347,1
HG03455,0.0,-1.551136,1
HG03457,0.651609,1.024538,1
HG03458,0.0,0.707675,1
HG03485,0.0,-0.685124,1
HG03521,0.0,-0.327832,1
HG03563,0.0,1.951003,1
NA18486,0.651609,-0.222742,1
NA18498,0.0,0.995998,1
NA18505,0.0,-1.413634,1
NA18861,0.651609,-1.243169,1
NA18867,0.651609,1.165028,1
NA18874,0.0,-1.847599,1
NA18881,0.0,1.335953,1
NA18915,0.651609,1.609195,1
NA18916,0.0,0.100195,1
NA19017,0.0,-1.537448,1
NA19019,0.0,0.339263,1
NA19020,0.0,-1.398193,1
NA19026,0.0,-1.099954,1
NA19108,0.0,-1.660285,1
NA19137,0.0,-0.477962,1
NA19144,0.0,0.302657,1
NA19149,0.0,-0.481265,1
NA19190,0.0,1.163151,1
NA19200,0.651609,1.059211,1
NA19207,0.0,0.780112,1
NA19225,0.0,0.206502,1
NA19257,0.0,-1.432457,1
NA19309,0.0,-1.347204,1
NA19315,0.0,-0.884543,1
NA19331,0.0,-1.210879,1
NA19379,0.0,-2.101497,1
NA19383,0.0,-0.863936,1
NA19384,0.0,-0.815066,1
NA19390,0.0,0.74925,1
NA19404,0.651609,0.530206,1
NA19431,0.651609,-1.878168,1
NA19439,0.0,-2.001995,1
NA19448,0.651609,-0.061296,1
NA19449,0.0,-0.300552,1
NA19462,0.0,-1.563206,1
NA19466,0.0,0.441427,1
NA19701,0.0,-0.929565,1
NA19711,0.0,1.210397,1
NA19923,0.651609,-0.648112,1
NA20291,0.0,-0.155723,1
NA20294,0.0,-0.187624,1
NA20340,0.0,-0.523183,1
NA20342,0.0,-0.655966,1
NA20355,0.0,-0.947059,1
NA20412,0.0,-0.53339,1
HG01894,-0.274598,-0.381608,2
HG02013,1.00356,1.299088,2
HG02332,-0.091211,-1.632869,2
HG02343,0.358237,0.398794,2
HG02427,-0.768816,-0.122135,2
HG02449,1.29516,0.759644,2
HG02455,0.083639,0.636768,2
HG02471,-0.274598,-0.406108,2
HG02496,0.000203,0.605215,2
HG02497,0.426994,-0.194005,2
HG02549,0.23373,-0.916496,2
HG02557,1.12647,0.03961,2
HG02558,-0.549196,-1.801012,2
HG02568,-0.274598,0.01209,2
HG02570,-0.436504,0.632919,2
HG02611,0.123735,-1.305731,2
HG02628,-0.577857,-0.809356,2
HG02678,-0.577857,-0.836211,2
HG02703,0.322004,-1.393151,2
HG02760,-1.00543,-0.650306,2
HG02804,3.00252,-1.033792,2
HG02810,-0.190959,-0.278542,2
HG02814,0.10512,-0.536851,2
HG02851,0.029486,-0.358731,2
HG02882,-0.124314,-1.256028,2
HG02884,-1.83351,0.149952,2
HG02891,0.358237,2.363961,2
HG02895,-0.124314,-1.149864,2
HG02922,0.225817,-0.287532,2
HG02923,0.083639,-1.298106,2
HG02943,-1.1935,-0.972426,2
HG02944,-0.549196,0.085027,2
HG02971,1.75314,-1.101499,2
HG02981,0.900064,-0.861773,2
HG03025,0.123735,1.453761,2
HG03039,-0.286017,-0.471654,2
HG03040,1.01685,-0.504294,2
HG03046,0.816222,-0.187272,2
HG03073,-0.274598,0.854013,2
HG03078,-0.069336,-2.275236,2
HG03079,0.233923,-1.071059,2
HG03085,2.14114,0.476546,2
HG03099,-0.274598,0.487209,2
HG03109,0.884979,-0.05474,2
HG03169,-0.9857,-0.331205,2
HG03199,0.882867,0.048743,2
HG03224,0.358237,-1.701991,2
HG03265,0.171765,-0.845603,2
HG03270,0.541624,-1.067971,2
HG03291,0.083639,-2.038055,2
HG03342,0.866758,0.329487,2
HG03351,-0.699277,-0.394249,2
HG03369,-0.549196,-0.511856,2
HG03380,-1.2082,0.022708,2
HG03385,0.668426,0.700761,2
HG03388,-0.699277,-0.607446,2
HG03394,-0.352865,-0.336362,2
HG03436,0.113858,0.337326,2
HG03455,-0.066442,-0.661916,2
HG03457,1.28027,0.94725,2
HG03458,0.716474,-0.068793,2
HG03485,0.508521,-0.212325,2
HG03521,0.358237,-1.102922,2
HG03563,0.304084,-0.216759,2
NA18486,-0.217305,0.225123,2
NA18498,-1.20532,0.004017,2
NA18505,-0.124314,-1.911962,2
NA18861,1.56835,-1.17183,2
NA18867,1.13165,0.64028,2
NA18874,-0.527715,-0.542601,2
NA18881,-0.711102,-0.629566,2
NA18915,0.701592,-0.416146,2
NA18916,-0.011622,-0.385603,2
NA19017,0.591967,-1.48783,2
NA19019,-0.768816,-0.765662,2
NA19020,-0.615638,-2.099731,2
NA19026,-0.711102,-0.473583,2
NA19108,-0.699277,-1.491893,2
NA19137,0.441876,-0.955589,2
NA19144,0.167278,-0.853223,2
NA19149,0.608168,-1.149473,2
NA19190,0.882867,-0.166747,2
NA19200,1.05983,0.222166,2
NA19207,0.358237,0.570063,2
NA19225,-0.852455,1.107963,2
NA19257,0.358237,-2.10168,2
NA19309,-1.71364,-1.658981,2
NA19315,-0.257401,-2.872375,2
NA19331,0.541624,-0.703591,2
NA19379,-0.677796,0.356181,2
NA19383,-0.078267,-0.722978,2
NA19384,0.578682,0.658853,2
NA19390,0.441876,-0.274713,2
NA19404,1.05983,0.04087,2
NA19431,1.56816,0.231335,2
NA19439,0.0,-1.083686,2
NA19448,1.28048,1.185528,2
NA19449,-0.861183,-1.201529,2
NA19462,0.233933,-2.021181,2
NA19466,-0.436504,0.003804,2
NA19701,0.029486,-0.728447,2
NA19711,0.728966,0.57711,2
NA19923,1.12647,0.634596,2
NA20291,-1.71364,-1.593441,2
NA20294,0.591967,0.170469,2
NA20340,0.966313,-1.766096,2
NA20342,0.442701,-0.518653,2
NA20355,0.358237,-0.38823,2
NA20412,0.417117,-1.079207,2
HG01894,0.0,0.109292,3
HG02013,0.690193,0.601853,3
HG02332,0.0,-0.615195,3
HG02343,0.0,0.453595,3
HG02427,0.0,-2.186989,3
HG02449,0.0,-0.529101,3
HG02455,0.0,0.26418,3
HG02471,0.0,0.769048,3
HG02496,0.0,1.092735,3
HG02497,0.690193,-0.706654,3
HG02549,0.690193,-0.630294,3
HG02557,1.38039,1.096263,3
HG02558,0.0,-0.987554,3
HG02568,0.0,-0.185296,3
HG02570,0.0,0.125365,3
HG02611,0.690193,0.237302,3
HG02628,0.0,-1.946646,3
HG02678,0.0,-0.367633,3
HG02703,0.0,-1.666977,3
HG02760,0.0,0.558801,3
HG02804,1.38039,0.19785,3
HG02810,0.0,-1.876897,3
HG02814,0.0,-0.720249,3
HG02851,0.0,-0.765711,3
HG02882,0.0,-1.729791,3
HG02884,0.0,-0.078198,3
HG02891,0.690193,0.736504,3
HG02895,0.0,-1.125884,3
HG02922,0.0,0.289393,3
HG02923,0.0,0.28381,3
HG02943,0.0,-0.88095,3
HG02944,0.0,0.415284,3
HG02971,0.690193,-0.4468,3
HG02981,0.690193,-0.540021,3
HG03025,0.690193,2.262058,3
HG03039,0.0,1.522002,3
HG03040,0.0,-0.593736,3
HG03046,0.0,0.039167,3
HG03073,0.690193,-0.356298,3
HG03078,0.0,-1.435198,3
HG03079,0.0,0.091156,3
HG03085,1.38039,0.248654,3
HG03099,0.0,-0.474945,3
HG03109,0.690193,0.59811,3
HG03169,0.0,-0.677802,3
HG03199,0.0,0.443572,3
HG03224,0.690193,0.666827,3
HG03265,0.0,0.592736,3
HG03270,0.0,0.322404,3
HG03291,0.0,-1.95039,3
HG03342,0.0,0.290602,3
HG03351,0.0,-1.603604,3
HG03369,0.0,-0.96403,3
HG03380,0.0,-2.003163,3
HG03385,0.0,-0.2271,3
HG03388,0.0,-0.839376,3
HG03394,0.0,-1.407474,3
HG03436,0.690193,0.568509,3
HG03455,0.0,-1.055905,3
HG03457,0.690193,1.504567,3
HG03458,0.0,0.01564,3
HG03485,0.0,-0.060659,3
HG03521,0.0,-1.704203,3
HG03563,0.0,1.798013,3
NA18486,0.690193,0.067303,3
NA18498,0.0,-3.205276,3
NA18505,0.0,-1.878432,3
NA18861,0.690193,-0.741114,3
NA18867,0.690193,0.493708,3
NA18874,0.0,-1.331829,3
NA18881,0.0,0.279443,3
NA18915,0.690193,0.015156,3
NA18916,0.0,-0.176997,3
NA19017,0.0,-1.99534,3
NA19019,0.0,0.471019,3
NA19020,0.0,-1.471022,3
NA19026,0.0,-1.037723,3
NA19108,0.0,-0.893015,3
NA19137,0.0,-1.593769,3
NA19144,0.0,-1.42775,3
NA19149,0.0,-0.693687,3
NA19190,0.690193,0.823385,3
NA19200,0.690193,-0.765259,3
NA19207,0.690193,0.21097,3
NA19225,0.0,-1.100204,3
NA19257,0.690193,-0.996944,3
NA19309,0.0,-2.3731,3
NA19315,0.0,0.539417,3
NA19331,0.0,0.998726,3
NA19379,0.0,-2.593095,3
NA19383,0.0,-1.782682,3
NA19384,0.690193,0.121648,3
NA19390,0.0,1.038181,3
NA19404,1.38039,-0.575551,3
NA19431,0.690193,-0.567378,3
NA19439,0.0,1.333153,3
NA19448,1.38039,-0.373326,3
NA19449,0.690193,-0.441658,3
NA19462,0.0,-0.195385,3
NA19466,0.0,-2.472852,3
NA19701,0.0,-0.1393,3
NA19711,0.0,0.850582,3
NA19923,0.690193,0.175744,3
NA20291,0.0,-1.568365,3
NA20294,0.690193,0.781529,3
NA20340,0.0,-1.28802,3
NA20342,0.0,0.141405,3
NA20355,0.0,-0.938524,3
NA20412,0.0,-0.765276,3
HG01894,-0.453793,-0.811743,4
HG02013,1.60846,0.16744,4
HG02332,1.59856,-0.109091,4
HG02343,-1.97138,0.886636,4
HG02427,0.488257,-0.396536,4
HG02449,-1.07265,0.527273,4
HG02455,-0.544003,-0.268049,4
HG02471,-0.844456,-0.308569,4
HG02496,-0.182883,0.300033,4
HG02497,1.60955,-1.946588,4
HG02549,-1.10782,-1.134993,4
HG02557,2.8508,1.201094,4
HG02558,-2.91747,-1.656872,4
HG02568,1.86766,-0.190914,4
HG02570,0.578936,0.144621,4
HG02611,3.78711,0.606724,4
HG02628,-0.824346,-0.093826,4
HG02678,0.973224,0.397056,4
HG02703,-2.51439,-1.668273,4
HG02760,-0.310144,-0.060574,4
HG02804,4.84795,0.239099,4
HG02810,-0.868255,-0.696404,4
HG02814,-0.837265,0.386424,4
HG02851,-0.66532,0.698354,4
HG02882,1.53767,-1.195674,4
HG02884,2.01476,0.554992,4
HG02891,0.076036,-0.151699,4
HG02895,0.604299,0.672416,4
HG02922,-0.830319,-0.377641,4
HG02923,-0.109142,-1.573319,4
HG02943,-2.14528,-1.434687,4
HG02944,0.367025,0.042667,4
HG02971,0.977967,-0.646703,4
HG02981,-2.89404,-0.288185,4
HG03025,0.414563,0.446464,4
HG03039,-1.2752,1.197529,4
HG03040,-0.083459,-1.099119,4
HG03046,-1.72778,0.161882,4
HG03073,-0.263822,0.555449,4
HG03078,-1.60619,-1.904807,4
HG03079,-0.372628,-1.047455,4
HG03085,1.58528,0.726679,4
HG03099,-2.97038,-0.348998,4
HG03109,-0.050085,-0.041444,4
HG03169,0.276958,-0.261591,4
HG03199,-3.28408,-1.047392,4
HG03224,-1.69814,0.364479,4
HG03265,-2.68774,2.291176,4
HG03270,-2.36498,-0.473279,4
HG03291,-1.56815,-0.190964,4
HG03342,-0.3986,-0.028983,4
HG03351,-0.57698,0.258432,4
HG03369,-2.1393,-2.271542,4
HG03380,-1.18641,-0.787607,4
HG03385,2.6583,-0.475992,4
HG03388,-5.90198,-0.571314,4
HG03394,-1.18042,0.936592,4
HG03436,3.31572,0.020057,4
HG03455,-0.307219,-1.355004,4
HG03457,0.329507,2.37335,4
HG03458,-4.04856,0.205108,4
HG03485,-1.13325,-0.3181,4
HG03521,-3.2647,-1.040494,4
HG03563,-0.790113,0.353313,4
NA18486,-2.15716,0.758014,4
NA18498,1.17118,-0.67723,4
NA18505,-1.89637,-3.171146,4
NA18861,0.404099,-1.707894,4
NA18867,2.67142,2.123442,4
NA18874,-3.24809,-1.46781,4
NA18881,0.249871,-1.460671,4
NA18915,0.008994,0.066099,4
NA18916,-1.5009,-2.233863,4
NA19017,-1.56318,-0.217025,4
NA19019,2.04549,-1.165724,4
NA19020,0.168517,-1.318045,4
NA19026,-1.13427,-0.195677,4
NA19108,-1.50277,-0.579895,4
NA19137,-0.730965,-1.595161,4
NA19144,-1.19876,-1.038574,4
NA19149,-2.39765,-1.510701,4
NA19190,0.44872,0.422453,4
NA19200,2.02117,-0.009034,4
NA19207,0.864276,1.027451,4
NA19225,-0.033107,1.242898,4
NA19257,-2.90166,-0.715355,4
NA19309,0.752067,-1.128868,4
NA19315,-1.76249,-0.382485,4
NA19331,0.085754,2.157438,4
NA19379,0.485778,-0.828016,4
NA19383,2.2363,-2.045863,4
NA19384,0.694417,1.307027,4
NA19390,-2.60026,1.045202,4
NA19404,-0.957665,-1.351463,4
NA19431,0.491489,-1.948523,4
NA19439,2.29552,-1.981642,4
NA19448,2.18666,2.081777,4
NA19449,2.74185,-1.365705,4
NA19462,-4.56854,-0.373739,4
NA19466,-0.618012,1.214423,4
NA19701,3.87801,-2.143868,4
NA19711,4.05924,0.068184,4
NA19923,4.16899,1.308896,4
NA20291,0.174184,0.391536,4
NA20294,0.137857,-0.11846,4
NA20340,-1.80093,-0.290904,4
NA20342,-1.08098,-0.795015,4
NA20355,0.710207,-1.029569,4
